study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	mean_unit	value_unit
Kim2023a		all	28.0	DAP-FOR10	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_DAP-FOR10	0.178438661710035	hr		8.67286245553042e-06	-2.65957446808511	1.517750929717834e-05	2.8682796515503344e-06		mole/meter^3	μg/l
Kim2023a		all	28.0	DAP-FOR10	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_DAP-FOR10	0.5	hr		0.00026398025099020966	33.2446808510638	0.00018267216546961087	3.452179437758791e-05		mole/meter^3	μg/l
Kim2023a		all	28.0	DAP-FOR10	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_DAP-FOR10	0.773234200743493	hr		0.000334989312344865	73.1382978723403	0.00015611152419954777	2.9502304987374558e-05		mole/meter^3	μg/l
Kim2023a		all	28.0	DAP-FOR10	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_DAP-FOR10	1.0	hr		0.0003154753718199221	82.0035460992907	0.00011491542753577833	2.1716974504595265e-05		mole/meter^3	μg/l
Kim2023a		all	28.0	DAP-FOR10	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_DAP-FOR10	1.24907063197025	hr		0.0002796998141908588	77.5709219858155	8.998094797612828e-05	1.7004800791334006e-05		mole/meter^3	μg/l
Kim2023a		all	28.0	DAP-FOR10	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_DAP-FOR10	1.5	hr		0.0002482606877895606	60.7269503546099	9.973791823860001e-05	1.8848694853044928e-05		mole/meter^3	μg/l
Kim2023a		all	28.0	DAP-FOR10	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_DAP-FOR10	2.0	hr		0.00018429832718002383	50.9751773049645	5.9625929381772326e-05	1.1268241488233484e-05		mole/meter^3	μg/l
Kim2023a		all	28.0	DAP-FOR10	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_DAP-FOR10	3.0	hr		0.00011816775095660362	33.6879432624113	3.5775557629063546e-05	6.76094489294013e-06		mole/meter^3	μg/l
Kim2023a		all	28.0	DAP-FOR10	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_DAP-FOR10	4.0	hr		8.456040894142263e-05	24.3794326241134	2.4934479559650304e-05	4.712173713261282e-06		mole/meter^3	μg/l
Kim2023a		all	28.0	DAP-FOR10	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_DAP-FOR10	5.0	hr		5.7999767671360296e-05	15.514184397163	2.0055994428414448e-05	3.7902266824058323e-06		mole/meter^3	μg/l
Kim2023a		all	28.0	DAP-FOR10	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_DAP-FOR10	6.0	hr		4.282225837418196e-05	12.4113475177304	1.2467239779825272e-05	2.3560868566306676e-06		mole/meter^3	μg/l
Kim2023a		all	28.0	DAP-FOR10	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_DAP-FOR10	8.0	hr		2.981296469088592e-05	8.86524822695037	8.130808552059514e-06	1.5365783847590446e-06		mole/meter^3	μg/l
Kim2023a		all	28.0	DAP-FOR10	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_DAP-FOR10	10.0	hr		2.493447955965006e-05	6.64893617021272	8.672862455530396e-06	1.63901694374303e-06		mole/meter^3	μg/l
Kim2023a		all	28.0	DAP-FOR10	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_DAP-FOR10	12.0	hr		1.8429832718002435e-05	4.8758865248227	6.5046468416479196e-06	1.2292627078072946e-06		mole/meter^3	μg/l
Kim2023a		all	28.0	DAP-FOR10	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_DAP-FOR10	24.0	hr		9.756970262471744e-06	2.65957446808505	3.252323420823972e-06	6.146313539036498e-07		mole/meter^3	μg/l
Kim2023a		all	28.0	DAP-FOR10	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_DAP-FOR10	48.0	hr		3.2523234208239475e-06	0.443262411347518	2.1682156138826283e-06	4.097542359357624e-07		mole/meter^3	μg/l
